Event,Time,Date,Party,Agenda,Location
tennis activity,4pm,sunday,Tom,-,-
doctor appointment,5pm,the 9th,Ana,-,-
dinner,8pm,monday,Tom,-,-
football activity,10am,the 1st,mother,-,-
doctor appointment,2pm,tuesday,Martha,-,-
medicine,3 pm,friday,-,-,-
doctor appointment,1 pm,tuesday,-,-,-
swimming activity,7 pm,wednesday,-,-,-
tennis activity,1 pm,tuesday,-,-,-
dinner,5 pm,tuesday,-,-,-
optometrist appointment,10 am,friday,-,-,-
football activity,6pm,the 3rd,Marie,-,-
taking medicine,4pm,wednesday,Martha,-,-
doctor appointment,5pm,wednesday,Tom,-,-
swimming activity,7pm,the 3rd,sister,-,-
dentist appointment,11am,saturday,mother,-,-
meeting,9am,the 3rd,sales team,go over quarterly report,conference room 102
taking medicine,1pm,the 4th,Jon,-,-
doctor appointment,1pm,the 5th,brother,-,-
meeting,7pm,the 8th,vice president,onboard new members,100 conference room
taking medicine,3pm,sunday,Ana,-,-
yoga activity,5pm,the 16th,father,-,-
tennis activity,5pm,the 9th,Ana,-,-
lab appointment,3pm,friday,Ana,-,-
lab appointment,3pm,the 11th,brother,-,-
meeting,11am,wednesday,boss,go over quarterly report,conference room 50
taking medicine,9am,the 10th,Alex,-,-
lab appointment,6pm,the 4th,Marie,-,-
tennis activity,3pm,monday,father,-,-
dinner,6pm,tuesday,Martha,-,-
swimming activity,9am,thursday,Marie,-,-
optometrist appointment,9am,tuesday,Martha,-,-
swimming activity,10am,the 8th,Marie,-,-
tennis activity,3pm,sunday,Jeff,-,-
tennis activity,7pm,the 13th,Jeff,-,-
dinner,8pm,monday,sister,-,-
conference,11am,the 13th,executive team,onboard new members,100 conference room
tennis activity,4pm,wednesday,Jeff,-,-
yoga activity,4pm,wednesday,Jeff,-,-
conference,4pm,the 6th,sales team,onboard new members,conference room 50
meeting,10am,the 16th,HR,discuss dress code,conference room 102
doctor appointment,1pm,the 20th,Jeff,-,-
conference,5pm,the 3rd,vice president,discuss dress code,conference room 100
doctor appointment,11am,the 12th,Ana,-,-
taking medicine,3pm,thursday,Jeff,-,-
tennis activity,10am,the 1st,Martha,-,-
meeting,11am,the 5th,vice president,discuss the company picnic,conference room 102
lab appointment,5pm,the 10th,Martha,-,-
meeting,1pm,the 13th,HR,discuss dress code,conference room 100
taking medicine,6pm,friday,Martha,-,-
dentist appointment,10am,tuesday,mother,-,-
dentist appointment,7pm,the 7th,Tom,-,-
lab appointment,2pm,the 8th,father,-,-
taking medicine,7pm,saturday,aunt,-,-
dentist appointment,9am,the 2nd,aunt,-,-
yoga activity,5pm,the 9th,Jon,-,-
meeting,1pm,the 11th,vice president,go over quarterly report,100 conference room
yoga activity,11am,the 4th,mother,-,-
dentist appointment,3pm,the 19th,brother,-,-
conference,6pm,the 13th,infrastructure team,discuss the merger,100 conference room
dentist appointment,5pm,the 9th,father,-,-
dentist appointment,10am,thursday,sister,-,-
football activity,1pm,the 18th,brother,-,-
conference,1pm,tuesday,HR,onboard new members,conference room 102
football activity,4pm,wednesday,father,-,-
swimming activity,5pm,the 12th,sister,-,-
meeting,7pm,the 6th,vice president,go over budget,conference room 102
football activity,2pm,the 4th,mother,-,-
yoga activity,3pm,the 13th,aunt,-,-
lab appointment,7pm,the 4th,aunt,-,-
lab appointment,9am,the 4th,father,-,-
dinner,6pm,the 18th,Marie,-,-
dentist appointment,6pm,the 2nd,father,-,-
football activity,6pm,the 19th,father,-,-
football activity,3pm,the 13th,sister,-,-
conference,4pm,the 17th,vice president,sign the NDA,conference room 102
taking medicine,3pm,sunday,Jon,-,-
optometrist appointment,9am,monday,Jon,-,-
taking medicine,4pm,sunday,Alex,-,-
conference,1 pm,tuesday,HR,discuss the company picnic,conference room 100
tennis activity,3 pm,friday,-,-,-
meeting,2 pm,friday,HR,go over budget,100 conference room
dentist,7 pm,friday,-,-,-
dentist appointment,2 pm,thursday,-,-,-
doctor appointment,10 am,friday,-,-,-
taking medicine,4pm,monday,father,-,-
dentist appointment,2pm,tuesday,Tom,-,-
yoga activity,6pm,tuesday,Marie,-,-
conference,7pm,saturday,boss,go over budget,100 conference room
football activity,1pm,the 10th,brother,-,-
meeting,11am,the 3rd,boss,discuss the company picnic,conference room 102
doctor appointment,3pm,the 4th,sister,-,-
yoga activity,3pm,the 8th,sister,-,-
optometrist appointment,7pm,sunday,Martha,-,-
football activity,11am,sunday,aunt,-,-
doctor appointment,5pm,thursday,brother,-,-
lab appointment,3pm,the 13th,aunt,-,-
optometrist appointment,9am,monday,Jeff,-,-
swimming activity,3pm,thursday,mother,-,-
yoga activity,4pm,the 12th,mother,-,-
meeting,11am,the 14th,HR,go over quarterly report,conference room 50
yoga activity,3pm,the 18th,aunt,-,-
swimming activity,2pm,the 11th,sister,-,-
swimming activity,9am,the 17th,father,-,-
conference,3pm,the 2nd,executive team,discuss the merger,conference room 102
yoga activity,3pm,the 3rd,Jon,-,-
taking medicine,11am,the 5th,Ana,-,-
tennis activity,2 pm,thursday,-,-,-
dentist appointment,10 am,monday,-,-,-
conference,7 pm,thursday,sales team,discuss the merger,conference room 100
meeting,7 pm,friday,infrastructure team,discuss the merger,conference room 50
lab appointment,7 pm,tuesday,-,-,-
swimming activity,1 pm,tuesday,-,-,-
football activity,7pm,tuesday,Ana,-,-
optometrist appointment,4pm,the 2nd,father,-,-
tennis activity,9am,the 2nd,father,-,-
dentist appointment,5pm,the 7th,sister,-,-
doctor appointment,10am,the 16th,mother,-,-
dentist appointment,6pm,the 19th,father,-,-
optometrist appointment,10am,the 12th,Jeff,-,-
football activity,11am,the 9th,father,-,-
dinner,6pm,the 15th,Martha,-,-
meeting,9am,the 16th,management,go over budget,conference room 50
dinner,7pm,wednesday,father,-,-
dinner,5pm,the 11th,Tom,-,-
swimming activity,6pm,the 13th,father,-,-
meeting,9am,the 7th,management,discuss the merger,100 conference room
tennis activity,2pm,the 18th,Tom,-,-
doctor appointment,10am,the 13th,mother,-,-
yoga activity,10am,the 13th,father,-,-
lab appointment,7pm,the 10th,Tom,-,-
taking medicine,6pm,wednesday,Martha,-,-
doctor appointment,2pm,thursday,aunt,-,-
tennis activity,2pm,tuesday,aunt,-,-
dinner,5pm,tuesday,brother,-,-
swimming activity,11am,saturday,Marie,-,-
conference,4pm,wednesday,boss,discuss dress code,100 conference room
football activity,6pm,monday,mother,-,-
dentist appointment,6pm,tuesday,sister,-,-
meeting,7pm,tuesday,executive team,go over budget,100 conference room
lab appointment,5pm,the 8th,father,-,-
dentist appointment,10am,sunday,Alex,-,-
lab appointment,3pm,monday,brother,-,-
meeting,6pm,monday,vice president,onboard new members,conference room 100
optometrist appointment,6pm,sunday,mother,-,-
taking medicine,1pm,monday,Alex,-,-
swimming activity,9am,the 4th,Alex,-,-
conference,10am,the 10th,sales team,onboard new members,conference room 102
doctor appointment,11am,saturday,father,-,-
swimming activity,1pm,the 5th,aunt,-,-
lab appointment,7pm,monday,Marie,-,-
meeting,4pm,friday,management,discuss dress code,conference room 50
dinner,8pm,the 5th,Alex,-,-
meeting,11am,the 13th,vice president,discuss dress code,conference room 100
taking medicine,3pm,friday,Martha,-,-
optometrist appointment,7 pm,thursday,-,-,-
dentist,1 pm,monday,-,-,-
dinner,5 pm,tuesday,-,-,-
meeting,1 pm,friday,HR,discuss the merger,conference room 102
doctor appointment,11 am,tuesday,-,-,-
swimming activity,1 pm,thursday,-,-,-
conference,10am,thursday,executive team,discuss the merger,conference room 50
optometrist appointment,10am,the 5th,Jon,-,-
optometrist appointment,10am,friday,father,-,-
doctor appointment,5pm,the 3rd,mother,-,-
lab appointment,1pm,monday,brother,-,-
swimming activity,4pm,monday,Ana,-,-
football activity,6pm,the 8th,Marie,-,-
football activity,9am,monday,father,-,-
dinner,5 pm,monday,-,-,-
yoga activity,7 pm,friday,-,-,-
tennis activity,10 am,wednesday,-,-,-
meeting,7 pm,friday,sales team,discuss the merger,conference room 102
optometrist appointment,2 pm,thursday,-,-,-
swimming activity,11 am,monday,-,-,-
lab appointment,10 am,wednesday,-,-,-
swimming activity,2 pm,wednesday,-,-,-
medicine,1 pm,wednesday,-,-,-
football activity,1 pm,monday,-,-,-
meeting,11 am,tuesday,HR,discuss the merger,100 conference room
optometrist appointment,3 pm,tuesday,-,-,-
yoga activity,3 pm,monday,-,-,-
dentist,3 pm,friday,-,-,-
medicine,11 am,friday,-,-,-
lab appointment,1 pm,thursday,-,-,-
football activity,2 pm,friday,-,-,-
tennis activity,1 pm,thursday,-,-,-
yoga activity,1pm,monday,Ana,-,-
dentist appointment,11am,the 5th,Jon,-,-
yoga activity,3pm,monday,Marie,-,-
dinner,8pm,the 8th,mother,-,-
dinner,7pm,the 5th,Marie,-,-
optometrist appointment,10am,the 5th,father,-,-
dinner,8pm,tuesday,Ana,-,-
meeting,2pm,saturday,boss,discuss the merger,conference room 102
football activity,9am,the 10th,father,-,-
lab appointment,5pm,friday,Marie,-,-
swimming activity,6pm,the 10th,Martha,-,-
dentist appointment,10am,the 5th,Tom,-,-
conference,5pm,monday,vice president,discuss the company picnic,100 conference room
doctor appointment,6pm,tuesday,brother,-,-
dentist appointment,2pm,saturday,aunt,-,-
dentist appointment,6pm,the 13th,sister,-,-
doctor appointment,7pm,the 13th,brother,-,-
yoga activity,3pm,saturday,Alex,-,-
doctor appointment,3pm,sunday,sister,-,-
dentist appointment,2pm,thursday,mother,-,-
dentist appointment,10am,thursday,mother,-,-
yoga activity,10am,the 5th,Martha,-,-
dinner,7pm,the 11th,mother,-,-
taking medicine,11am,the 17th,Tom,-,-
tennis activity,5pm,the 19th,father,-,-
meeting,11am,sunday,sales team,discuss the merger,conference room 100
swimming activity,3pm,the 12th,Jon,-,-
doctor appointment,6pm,friday,Alex,-,-
dentist appointment,7pm,the 5th,Jeff,-,-
tennis activity,7pm,the 12th,mother,-,-
swimming activity,2 pm,monday,-,-,-
tennis activity,1 pm,monday,-,-,-
medicine,10 am,tuesday,-,-,-
lab appointment,7 pm,thursday,-,-,-
doctor appointment,2 pm,thursday,-,-,-
football activity,3 pm,friday,-,-,-
football activity,10am,wednesday,brother,-,-
yoga activity,6pm,tuesday,Jeff,-,-
doctor appointment,7pm,the 10th,brother,-,-
football activity,6pm,the 13th,Marie,-,-
yoga activity,3pm,saturday,Tom,-,-
swimming activity,2pm,saturday,father,-,-
yoga activity,5pm,monday,Ana,-,-
dinner,5pm,saturday,mother,-,-
conference,7 pm,friday,HR,discuss the company picnic,conference room 50
dentist,11 am,wednesday,-,-,-
doctor appointment,10 am,tuesday,-,-,-
medicine,2 pm,monday,-,-,-
optometrist appointment,3 pm,thursday,-,-,-
dentist appointment,11 am,thursday,-,-,-
swimming activity,10am,the 13th,aunt,-,-
taking medicine,11am,the 17th,sister,-,-
conference,3pm,the 9th,management,discuss the merger,100 conference room
swimming activity,7pm,the 20th,Tom,-,-
tennis activity,5pm,the 3rd,Jon,-,-
yoga activity,3pm,the 19th,sister,-,-
tennis activity,10am,the 6th,Jeff,-,-
tennis activity,7pm,the 2nd,aunt,-,-
lab appointment,10 am,friday,-,-,-
dentist appointment,11 am,wednesday,-,-,-
doctor appointment,11 am,friday,-,-,-
conference,10 am,wednesday,executive team,go over budget,conference room 100
dentist,7 pm,tuesday,-,-,-
tennis activity,2 pm,monday,-,-,-
football activity,1 pm,wednesday,-,-,-
dentist appointment,11 am,monday,-,-,-
yoga activity,7 pm,monday,-,-,-
conference,7 pm,tuesday,HR,discuss the merger,conference room 50
doctor appointment,2 pm,tuesday,-,-,-
tennis activity,2 pm,thursday,-,-,-
dentist appointment,2pm,the 9th,Jon,-,-
taking medicine,1pm,the 7th,Martha,-,-
optometrist appointment,11am,the 18th,Marie,-,-
dentist appointment,4pm,tuesday,Ana,-,-
optometrist appointment,1pm,the 14th,Jeff,-,-
meeting,3pm,the 4th,management,discuss the company picnic,conference room 50
tennis activity,4pm,the 18th,father,-,-
dinner,6pm,the 12th,Martha,-,-
conference,3 pm,tuesday,HR,discuss the company picnic,conference room 50
dentist appointment,2 pm,wednesday,-,-,-
optometrist appointment,1 pm,monday,-,-,-
lab appointment,11 am,friday,-,-,-
dentist,1 pm,thursday,-,-,-
dinner,5 pm,monday,-,-,-
meeting,2pm,the 13th,management,onboard new members,conference room 102
meeting,9am,tuesday,executive team,go over quarterly report,100 conference room
meeting,10am,friday,vice president,go over budget,100 conference room
doctor appointment,7pm,friday,father,-,-
swimming activity,3pm,the 4th,Jeff,-,-
yoga activity,7pm,the 4th,aunt,-,-
optometrist appointment,3pm,the 10th,mother,-,-
football activity,6pm,the 10th,mother,-,-
meeting,1 pm,thursday,HR,discuss the merger,conference room 100
conference,10 am,monday,sales team,discuss the merger,conference room 102
dinner,5 pm,monday,-,-,-
optometrist appointment,1 pm,wednesday,-,-,-
lab appointment,10 am,wednesday,-,-,-
yoga activity,7 pm,friday,-,-,-
dinner,7pm,the 1st,brother,-,-
meeting,4pm,the 19th,boss,discuss the merger,100 conference room
yoga activity,7pm,the 14th,Jeff,-,-
doctor appointment,2pm,the 2nd,mother,-,-
lab appointment,6pm,the 17th,Ana,-,-
dinner,8pm,the 11th,father,-,-
doctor appointment,1pm,the 13th,aunt,-,-
dinner,5pm,the 16th,mother,-,-
dinner,8pm,the 3rd,Martha,-,-
yoga activity,10am,the 4th,Jon,-,-
meeting,3pm,the 17th,executive team,discuss the merger,conference room 50
conference,7pm,the 18th,sales team,go over budget,conference room 100
football activity,5pm,thursday,Jeff,-,-
yoga activity,2pm,sunday,brother,-,-
doctor appointment,4pm,the 20th,mother,-,-
dinner,8pm,sunday,Tom,-,-
optometrist appointment,7 pm,friday,-,-,-
conference,7 pm,monday,sales team,go over budget,conference room 102
dinner,5 pm,monday,-,-,-
yoga activity,7 pm,tuesday,-,-,-
lab appointment,7 pm,tuesday,-,-,-
dentist appointment,1 pm,wednesday,-,-,-
dentist appointment,5pm,saturday,Martha,-,-
swimming activity,5pm,the 10th,Ana,-,-
doctor appointment,9am,the 10th,Ana,-,-
football activity,9am,the 3rd,Jon,-,-
dentist appointment,6pm,thursday,Jon,-,-
yoga activity,10am,the 3rd,mother,-,-
taking medicine,2pm,tuesday,aunt,-,-
yoga activity,3pm,saturday,Martha,-,-
yoga activity,9am,thursday,Jon,-,-
lab appointment,4pm,wednesday,Martha,-,-
taking medicine,1pm,tuesday,father,-,-
lab appointment,10am,the 10th,Marie,-,-
doctor appointment,3pm,the 12th,Martha,-,-
tennis activity,1pm,the 5th,mother,-,-
lab appointment,11am,the 4th,Jon,-,-
taking medicine,9am,the 18th,mother,-,-
dentist appointment,4pm,the 2nd,Jeff,-,-
conference,4pm,the 15th,management,go over budget,conference room 100
swimming activity,3pm,the 19th,aunt,-,-
football activity,6pm,the 1st,Martha,-,-
dinner,5pm,the 6th,Alex,-,-
yoga activity,9am,tuesday,Alex,-,-
football activity,1pm,the 16th,brother,-,-
yoga activity,7pm,the 16th,Marie,-,-
swimming activity,1 pm,tuesday,-,-,-
medicine,10 am,monday,-,-,-
meeting,10 am,wednesday,executive team,discuss the merger,conference room 50
football activity,10 am,thursday,-,-,-
optometrist appointment,11 am,monday,-,-,-
conference,10 am,monday,sales team,go over budget,100 conference room
football activity,2pm,friday,brother,-,-
optometrist appointment,9am,the 3rd,brother,-,-
optometrist appointment,2pm,the 3rd,Jon,-,-
optometrist appointment,1pm,wednesday,Marie,-,-
yoga activity,6pm,the 3rd,Jon,-,-
optometrist appointment,4pm,thursday,brother,-,-
lab appointment,6pm,the 13th,Marie,-,-
conference,9am,thursday,boss,discuss the merger,100 conference room
dentist appointment,5pm,the 16th,father,-,-
dinner,8pm,the 17th,Jon,-,-
meeting,1pm,the 12th,HR,sign the NDA,conference room 100
tennis activity,7pm,the 15th,brother,-,-
doctor appointment,2pm,the 12th,Jon,-,-
dinner,8pm,the 2nd,sister,-,-
swimming activity,2pm,the 15th,brother,-,-
dinner,5pm,the 6th,sister,-,-
taking medicine,5pm,friday,Martha,-,-
meeting,7pm,friday,management,go over budget,conference room 102
tennis activity,6pm,the 3rd,Tom,-,-
lab appointment,10am,friday,mother,-,-
optometrist appointment,9am,the 3rd,brother,-,-
dentist appointment,9am,thursday,Jon,-,-
football activity,11am,tuesday,Tom,-,-
swimming activity,9am,the 13th,father,-,-
dinner,6pm,wednesday,brother,-,-
tennis activity,11am,monday,mother,-,-
dentist appointment,7pm,monday,Jon,-,-
swimming activity,2pm,saturday,aunt,-,-
conference,10am,sunday,executive team,go over quarterly report,100 conference room
tennis activity,7pm,tuesday,sister,-,-
conference,3 pm,friday,sales team,discuss the company picnic,conference room 50
medicine,3 pm,tuesday,-,-,-
dentist appointment,11 am,tuesday,-,-,-
optometrist appointment,2 pm,thursday,-,-,-
doctor appointment,7 pm,thursday,-,-,-
dinner,5 pm,monday,-,-,-
dentist appointment,2 pm,wednesday,-,-,-
lab appointment,11 am,monday,-,-,-
football activity,11 am,monday,-,-,-
optometrist appointment,1 pm,wednesday,-,-,-
dentist,10 am,friday,-,-,-
medicine,3 pm,monday,-,-,-
tennis activity,11am,friday,Tom,-,-
taking medicine,5pm,thursday,Ana,-,-
football activity,11am,the 5th,mother,-,-
lab appointment,5pm,the 4th,Jeff,-,-
tennis activity,5pm,the 4th,Alex,-,-
football activity,11am,sunday,Jeff,-,-
doctor appointment,1pm,friday,Jeff,-,-
swimming activity,3pm,the 13th,father,-,-
swimming activity,2 pm,friday,-,-,-
dentist,10 am,tuesday,-,-,-
doctor appointment,3 pm,tuesday,-,-,-
lab appointment,11 am,monday,-,-,-
conference,10 am,wednesday,executive team,discuss the company picnic,conference room 102
dentist appointment,10 am,monday,-,-,-
lab appointment,7pm,the 4th,Jon,-,-
football activity,6pm,the 7th,Jon,-,-
doctor appointment,6pm,the 1st,Jon,-,-
tennis activity,11am,the 2nd,Jeff,-,-
tennis activity,11am,the 2nd,father,-,-
meeting,5pm,the 7th,infrastructure team,discuss dress code,conference room 100
dinner,7pm,the 7th,Tom,-,-
yoga activity,4pm,the 1st,Jon,-,-
football activity,3pm,sunday,Jeff,-,-
dinner,8pm,wednesday,Alex,-,-
football activity,3pm,the 8th,Alex,-,-
optometrist appointment,2pm,the 5th,Marie,-,-
swimming activity,1pm,the 2nd,brother,-,-
meeting,6pm,the 18th,sales team,go over quarterly report,100 conference room
optometrist appointment,2pm,the 7th,Martha,-,-
taking medicine,7pm,the 4th,Tom,-,-
dinner,8pm,monday,Jon,-,-
dinner,5pm,the 8th,Martha,-,-
dentist appointment,2pm,wednesday,Martha,-,-
tennis activity,9am,the 8th,sister,-,-
taking medicine,5pm,saturday,Jon,-,-
yoga activity,10am,the 5th,Jeff,-,-
doctor appointment,11am,tuesday,Marie,-,-
optometrist appointment,5pm,tuesday,Marie,-,-
medicine,3 pm,thursday,-,-,-
swimming activity,7 pm,thursday,-,-,-
optometrist appointment,3 pm,friday,-,-,-
doctor appointment,3 pm,thursday,-,-,-
conference,1 pm,thursday,executive team,go over budget,conference room 50
dentist appointment,7 pm,thursday,-,-,-
dentist appointment,10am,the 1st,Alex,-,-
football activity,1pm,wednesday,brother,-,-
football activity,6pm,sunday,Alex,-,-
lab appointment,11am,the 1st,Tom,-,-
doctor appointment,5pm,the 17th,Alex,-,-
doctor appointment,2pm,the 14th,brother,-,-
lab appointment,6pm,the 11th,mother,-,-
taking medicine,1pm,the 8th,Martha,-,-
meeting,7 pm,friday,executive team,discuss the company picnic,100 conference room
tennis activity,3 pm,friday,-,-,-
dinner,5 pm,friday,-,-,-
football activity,2 pm,thursday,-,-,-
optometrist appointment,1 pm,friday,-,-,-
conference,1 pm,thursday,HR,discuss the merger,conference room 100
lab appointment,5pm,the 3rd,Tom,-,-
dinner,6pm,tuesday,Marie,-,-
conference,2pm,the 8th,infrastructure team,sign the NDA,100 conference room
tennis activity,11am,friday,Martha,-,-
tennis activity,1pm,monday,Tom,-,-
lab appointment,9am,tuesday,Martha,-,-
tennis activity,5pm,the 8th,Marie,-,-
doctor appointment,6pm,monday,aunt,-,-
lab appointment,1pm,the 10th,Martha,-,-
optometrist appointment,2pm,the 10th,father,-,-
doctor appointment,5pm,the 13th,father,-,-
dinner,5pm,saturday,Jon,-,-
swimming activity,5pm,tuesday,Tom,-,-
conference,10am,tuesday,management,go over quarterly report,100 conference room
lab appointment,1pm,thursday,Marie,-,-
football activity,9am,wednesday,Tom,-,-
taking medicine,6pm,the 8th,aunt,-,-
dinner,6pm,the 4th,Marie,-,-
conference,5pm,thursday,boss,discuss the company picnic,conference room 50
dentist appointment,7pm,tuesday,brother,-,-
doctor appointment,10am,thursday,mother,-,-
swimming activity,1pm,the 13th,father,-,-
taking medicine,3pm,wednesday,Ana,-,-
dentist appointment,9am,the 13th,aunt,-,-
dinner,5pm,the 3rd,Jon,-,-
yoga activity,4pm,the 10th,mother,-,-
yoga activity,1pm,the 17th,Alex,-,-
doctor appointment,7pm,the 14th,Marie,-,-
meeting,3pm,the 18th,executive team,go over budget,conference room 100
lab appointment,5pm,the 4th,sister,-,-
yoga activity,9am,thursday,sister,-,-
meeting,10am,the 14th,HR,discuss the company picnic,conference room 102
dentist appointment,6pm,the 18th,Tom,-,-
dentist appointment,10am,saturday,Martha,-,-
football activity,3pm,monday,sister,-,-
dinner,7pm,the 6th,Martha,-,-
lab appointment,10am,monday,Ana,-,-
meeting,1pm,the 15th,vice president,sign the NDA,conference room 100
yoga activity,3pm,the 2nd,aunt,-,-
dentist appointment,3pm,thursday,father,-,-
yoga activity,6pm,sunday,sister,-,-
conference,9am,monday,vice president,sign the NDA,conference room 102
taking medicine,5pm,sunday,Jeff,-,-
dentist appointment,4pm,the 17th,Alex,-,-
swimming activity,4pm,saturday,Tom,-,-
lab appointment,4pm,saturday,mother,-,-
taking medicine,10am,tuesday,aunt,-,-
doctor appointment,1pm,the 4th,Martha,-,-
dinner,6pm,thursday,Tom,-,-
yoga activity,6pm,the 4th,Martha,-,-
football activity,2pm,the 8th,Marie,-,-
meeting,4pm,the 5th,management,discuss the company picnic,conference room 50
football activity,10am,the 19th,Alex,-,-
taking medicine,6pm,monday,Jon,-,-
tennis activity,3pm,the 12th,sister,-,-
lab appointment,1pm,sunday,Ana,-,-
tennis activity,7pm,the 12th,Alex,-,-
taking medicine,11am,friday,father,-,-
football activity,9am,saturday,father,-,-
lab appointment,6pm,the 4th,father,-,-
doctor appointment,11am,monday,Jon,-,-
swimming activity,6pm,friday,Martha,-,-
doctor appointment,4pm,the 5th,Alex,-,-
yoga activity,3pm,wednesday,sister,-,-
doctor appointment,10am,wednesday,Ana,-,-
optometrist appointment,2pm,sunday,Tom,-,-
meeting,10am,tuesday,HR,sign the NDA,conference room 100
yoga activity,11am,monday,Tom,-,-
meeting,4pm,wednesday,management,go over quarterly report,100 conference room
taking medicine,9am,wednesday,Marie,-,-
conference,4pm,the 13th,executive team,sign the NDA,100 conference room
optometrist appointment,4pm,the 10th,Jon,-,-
meeting,9am,thursday,executive team,discuss the merger,conference room 102
optometrist appointment,10am,wednesday,sister,-,-
tennis activity,7 pm,monday,-,-,-
medicine,2 pm,tuesday,-,-,-
meeting,1 pm,tuesday,HR,discuss the merger,conference room 102
dinner,5 pm,monday,-,-,-
yoga activity,2 pm,friday,-,-,-
doctor appointment,3 pm,tuesday,-,-,-
conference,11am,sunday,infrastructure team,sign the NDA,100 conference room
meeting,1pm,the 6th,management,discuss the merger,conference room 50
yoga activity,5pm,the 17th,father,-,-
lab appointment,9am,monday,Marie,-,-
dentist appointment,10am,sunday,brother,-,-
dentist appointment,5pm,the 11th,brother,-,-
yoga activity,9am,the 10th,brother,-,-
yoga activity,2pm,tuesday,Marie,-,-
optometrist appointment,11 am,monday,-,-,-
dentist appointment,1 pm,tuesday,-,-,-
lab appointment,1 pm,tuesday,-,-,-
tennis activity,10 am,thursday,-,-,-
dinner,5 pm,thursday,-,-,-
meeting,2 pm,wednesday,infrastructure team,go over budget,conference room 102
yoga activity,6pm,monday,father,-,-
football activity,3pm,sunday,Tom,-,-
lab appointment,3pm,the 18th,brother,-,-
football activity,6pm,the 17th,Alex,-,-
football activity,5pm,the 1st,aunt,-,-
optometrist appointment,3pm,the 10th,Tom,-,-
swimming activity,11am,tuesday,aunt,-,-
yoga activity,6pm,the 15th,mother,-,-
yoga activity,10am,the 10th,Alex,-,-
yoga activity,7pm,friday,mother,-,-
tennis activity,3pm,thursday,mother,-,-
conference,3pm,the 8th,vice president,sign the NDA,100 conference room
taking medicine,4pm,friday,Ana,-,-
football activity,1pm,the 13th,Martha,-,-
yoga activity,7pm,the 4th,aunt,-,-
meeting,5pm,the 5th,infrastructure team,go over budget,conference room 50
medicine,3 pm,thursday,-,-,-
tennis activity,1 pm,wednesday,-,-,-
doctor appointment,1 pm,monday,-,-,-
meeting,3 pm,thursday,executive team,discuss the company picnic,conference room 100
lab appointment,7 pm,wednesday,-,-,-
yoga activity,11 am,tuesday,-,-,-
tennis activity,11am,the 10th,brother,-,-
conference,5pm,the 10th,executive team,discuss dress code,conference room 50
dinner,7pm,thursday,Ana,-,-
lab appointment,9am,thursday,Martha,-,-
conference,7pm,tuesday,management,go over budget,conference room 102
dinner,6pm,monday,aunt,-,-
taking medicine,2pm,thursday,father,-,-
conference,6pm,the 10th,sales team,discuss dress code,100 conference room
tennis activity,6pm,sunday,brother,-,-
meeting,4pm,saturday,boss,discuss the company picnic,conference room 100
conference,2pm,tuesday,vice president,discuss the merger,conference room 102
swimming activity,7pm,wednesday,sister,-,-
yoga activity,7pm,the 4th,Marie,-,-
doctor appointment,3pm,the 4th,father,-,-
yoga activity,6pm,the 11th,sister,-,-
dinner,7pm,sunday,Alex,-,-
dinner,5pm,the 7th,sister,-,-
dinner,7pm,the 20th,aunt,-,-
tennis activity,11am,monday,Alex,-,-
yoga activity,9am,the 2nd,Ana,-,-
tennis activity,3pm,friday,Jon,-,-
taking medicine,11am,the 19th,father,-,-
conference,3 pm,tuesday,infrastructure team,discuss the merger,conference room 100
dinner,5 pm,tuesday,-,-,-
doctor appointment,7 pm,monday,-,-,-
dentist appointment,10 am,tuesday,-,-,-
medicine,7 pm,wednesday,-,-,-
optometrist appointment,2 pm,wednesday,-,-,-
doctor appointment,5pm,the 3rd,Marie,-,-
tennis activity,7pm,friday,father,-,-
swimming activity,7pm,sunday,Ana,-,-
lab appointment,11am,the 4th,Tom,-,-
tennis activity,9am,the 9th,Marie,-,-
lab appointment,10am,the 1st,mother,-,-
dinner,5pm,the 10th,brother,-,-
taking medicine,2pm,the 11th,father,-,-
dentist,2 pm,wednesday,-,-,-
yoga activity,3 pm,thursday,-,-,-
medicine,1 pm,friday,-,-,-
meeting,10 am,wednesday,sales team,discuss the company picnic,conference room 102
optometrist appointment,7 pm,thursday,-,-,-
doctor appointment,7 pm,tuesday,-,-,-
dinner,6pm,the 8th,Jeff,-,-
optometrist appointment,9am,saturday,Tom,-,-
dinner,5pm,monday,mother,-,-
football activity,3pm,the 6th,Ana,-,-
optometrist appointment,9am,tuesday,mother,-,-
optometrist appointment,7pm,the 18th,Martha,-,-
football activity,10am,tuesday,father,-,-
swimming activity,10am,the 3rd,mother,-,-
conference,6pm,friday,boss,go over quarterly report,conference room 100
taking medicine,10am,the 1st,Tom,-,-
optometrist appointment,9am,the 13th,Marie,-,-
football activity,10am,the 1st,mother,-,-
doctor appointment,6pm,wednesday,Jon,-,-
optometrist appointment,11am,wednesday,Tom,-,-
dinner,5pm,the 20th,Marie,-,-
football activity,10am,sunday,Alex,-,-
dentist appointment,6pm,sunday,Jeff,-,-
dentist appointment,1pm,wednesday,Alex,-,-
dinner,6pm,friday,mother,-,-
football activity,2pm,saturday,Ana,-,-
tennis activity,11am,the 3rd,Martha,-,-
yoga activity,9am,thursday,father,-,-
taking medicine,6pm,thursday,Martha,-,-
